title,category,additional_categories,address,city,zip,region,phone,url,domain,rating_value,rating_votes,cid,latitude,longitude,is_claimed
HealthySkin Medical & Cosmetic Dermatology,Skin care clinic,"Dermatologist, Medical group, Medical spa",1595 E River Rd Suite 201,Tucson,85718,Arizona,+1520-293-5757,https://www.hsdermatology.com/,www.hsdermatology.com,4.6,383,15759269525503810565,32.291,-110.948,True
Mei Zen Cosmetic Acupuncture,Acupuncture clinic,,2550 E Fort Lowell Rd Y,Tucson,85716,Arizona,+1520-297-7955,,,,,17893294118676655552,32.265,-110.934,
About Faces Cosmetic Surgery and Med Spa,Plastic surgeon,Medical spa,5940 N La Cholla Blvd,Tucson,85704,Arizona,+1520-877-2725,https://www.aboutfacescosmetic.com/,www.aboutfacescosmetic.com,4.7,131,4459670757989380105,32.314,-111.011,True
Hillside Dental Care -Dentist Tucson AZ - Cosmetic & Emergency Dentistry Tucson,Dentist,"Cosmetic dentist, Dental implants periodontist, Emergency dental service, Endodontist",7241 N Thornydale Rd,Tucson,85741,Arizona,+1520-744-0700,http://www.cosmeticdentisttucson.com/,www.cosmeticdentisttucson.com,5,181,6025806982163642909,32.339,-111.047,True
Cosmetic Surgery San Diego,Cosmetic surgeon,,4525 E Skyline Dr #113,Tucson,85718,Arizona,+1858-522-0546,,,,,6967506636243552142,32.323,-110.897,
HealthySkin Medical and Cosmetic Dermatology,Dermatologist,,2295 E Vistoso Commerce Loop Rd,Oro Valley,85755,Arizona,+1520-293-5757,http://hsdermatology.com/,hsdermatology.com,4.8,,7279040662652860439,32.444,-110.937,True
Maka Beauty Systems,Beauty supply store,Beauty,3955 E Speedway Blvd # 102,Tucson,85712,Arizona,+1520-322-6252,http://www.makabeauty.com/,www.makabeauty.com,5,16,10648388464307263632,32.237,-110.908,True
"Joan Raso, LPN - Injectables and Aesthetics Expert",Nurse practitioner,,6600 N Oracle Rd #100,Tucson,85704,Arizona,+1520-620-1226,https://www.beautyandhealthbyliz.com/,www.beautyandhealthbyliz.com,,,12341462113507480931,32.327,-110.975,True
Juvenescence Injectables and Wellness,Medical spa,,2251 N Indian Ruins Rd Suite D,Tucson,85715,Arizona,+1520-688-6387,,,5,7,13093449198770243120,32.249,-110.846,True
"Complexion Resuscitation Injectables, LLC",Medical spa,"Medical clinic, Wellness center",9000 N Oracle Rd Bldg B Suite 100,Tucson,85704,Arizona,+1520-595-6410,https://crinjectables.com/,crinjectables.com,4.9,67,1419215858022050337,32.37,-110.967,True
Xo Injectables,Medical spa,,1607 N Wilmot Rd #102d,Tucson,85712,Arizona,+1520-404-2256,https://xoinjectables.com/,xoinjectables.com,,,5924633323558973117,32.242,-110.859,True
Re-Nu Aesthetics,Aesthetics,,,Tucson,,Arizona,,,,,,894125721151165323,,,
Reborn Aesthetics & Infusions,Aesthetics,,,Tucson,,Arizona,,,,,,3071166660921923531,,,
Rao Plastic Surgery - Foothills,Plastic surgeon,,,Tucson,,Arizona,,,,,,6941871283015610742,,,
Nurse Gemavie Aesthetics,Aesthetics,,,Tucson,,Arizona,,,,5,30,13695335456560126552,,,
Jouvance Med Spa,Medical spa,,,Tucson,,Arizona,,,,5,18,10765999534337796284,,,
Native Aesthetics & Wellness,Aesthetics,,,Tucson,,Arizona,,,,5,32,15860318983667204031,,,
Skinjectables Anti-Aging Bar,Medical spa,,,Tucson,,Arizona,,,,4.7,596,9702943231510030234,,,
ClubInject®,Medical spa,,,Tucson,,Arizona,,,,5,56,5536711792035020826,,,
Skinjectables Institute,Medical spa,,,Tucson,,Arizona,,,,4.8,22,738911648310482541,,,
Rejuvenate IV Health and Wellness PLLC,Wellness center,,,Tucson,,Arizona,,,,5,8,12152867034283430707,,,
SonAura Aesthetics & Infusions,Aesthetics,,,Tucson,,Arizona,,,,5,47,4952323788510359271,,,
Tucson Aesthetics,Aesthetics,,,Tucson,,Arizona,,,,4.9,34,18121637224183683955,,,
El Con Health & Wellness Center,Wellness center,,,Tucson,,Arizona,,,,4.6,208,18341689200612459723,,,
